"Statistic Label","Year","Day of Week","UNIT","VALUE"
"All Fatal and Injury Collisions","2017","Sunday","Number","791"
"All Fatal and Injury Collisions","2017","Monday","Number","859"
"All Fatal and Injury Collisions","2017","Tuesday","Number","854"
"All Fatal and Injury Collisions","2017","Wednesday","Number","904"
"All Fatal and Injury Collisions","2017","Thursday","Number","896"
"All Fatal and Injury Collisions","2017","Friday","Number","920"
"All Fatal and Injury Collisions","2017","Saturday","Number","831"
"All Fatal and Injury Collisions","2018","All days","Number","6106"
"All Fatal and Injury Collisions","2018","Sunday","Number","734"
"All Fatal and Injury Collisions","2018","Monday","Number","890"
"All Fatal and Injury Collisions","2018","Tuesday","Number","873"
"All Fatal and Injury Collisions","2018","Wednesday","Number","861"
"All Fatal and Injury Collisions","2018","Thursday","Number","939"
"All Fatal and Injury Collisions","2018","Friday","Number","1021"
"All Fatal and Injury Collisions","2018","Saturday","Number","788"
"All Fatal and Injury Collisions","2019","All days","Number","5827"
"All Fatal and Injury Collisions","2019","Sunday","Number","715"
"All Fatal and Injury Collisions","2019","Monday","Number","813"
"All Fatal and Injury Collisions","2019","Tuesday","Number","853"
"All Fatal and Injury Collisions","2019","Wednesday","Number","879"
"All Fatal and Injury Collisions","2019","Thursday","Number","902"
"All Fatal and Injury Collisions","2019","Friday","Number","938"
"All Fatal and Injury Collisions","2019","Saturday","Number","727"
"All Fatal and Injury Collisions","2020","All days","Number","4429"
"All Fatal and Injury Collisions","2020","Sunday","Number","518"
"All Fatal and Injury Collisions","2020","Monday","Number","625"
"All Fatal and Injury Collisions","2020","Tuesday","Number","621"
"All Fatal and Injury Collisions","2020","Wednesday","Number","649"
"All Fatal and Injury Collisions","2020","Thursday","Number","684"
"All Fatal and Injury Collisions","2020","Friday","Number","732"
"All Fatal and Injury Collisions","2020","Saturday","Number","600"
"All Fatal and Injury Collisions","2021","All days","Number","4913"
"All Fatal and Injury Collisions","2021","Sunday","Number","624"
"All Fatal and Injury Collisions","2021","Monday","Number","647"
"All Fatal and Injury Collisions","2021","Tuesday","Number","671"
"All Fatal and Injury Collisions","2021","Wednesday","Number","722"
"All Fatal and Injury Collisions","2021","Thursday","Number","730"
"All Fatal and Injury Collisions","2021","Friday","Number","809"
"All Fatal and Injury Collisions","2021","Saturday","Number","710"
"All Fatal and Injury Collisions","2022","All days","Number","5715"
"All Fatal and Injury Collisions","2022","Sunday","Number","737"
"All Fatal and Injury Collisions","2022","Monday","Number","772"
"All Fatal and Injury Collisions","2022","Tuesday","Number","823"
"All Fatal and Injury Collisions","2022","Wednesday","Number","851"
"All Fatal and Injury Collisions","2022","Thursday","Number","861"
"All Fatal and Injury Collisions","2022","Friday","Number","866"
"All Fatal and Injury Collisions","2022","Saturday","Number","805"
"Killed Casualties","2005","All days","Number","396"
"Killed Casualties","2005","Sunday","Number","89"
"Killed Casualties","2005","Monday","Number","47"
"Killed Casualties","2005","Tuesday","Number","29"
"Killed Casualties","2005","Wednesday","Number","38"
"Killed Casualties","2005","Thursday","Number","49"
"Killed Casualties","2005","Friday","Number","56"
"Killed Casualties","2005","Saturday","Number","88"
"Killed Casualties","2006","All days","Number","365"
"Killed Casualties","2006","Sunday","Number","80"
"Killed Casualties","2006","Monday","Number","64"
"Killed Casualties","2006","Tuesday","Number","42"
"Killed Casualties","2006","Wednesday","Number","35"
"Killed Casualties","2006","Thursday","Number","37"
"Killed Casualties","2006","Friday","Number","44"
"Killed Casualties","2006","Saturday","Number","63"
"Killed Casualties","2007","All days","Number","338"
"Killed Casualties","2007","Sunday","Number","75"
"Killed Casualties","2007","Monday","Number","41"
"Killed Casualties","2007","Tuesday","Number","36"
"Killed Casualties","2007","Wednesday","Number","34"
"Killed Casualties","2007","Thursday","Number","56"
"Killed Casualties","2007","Friday","Number","37"
"Killed Casualties","2007","Saturday","Number","59"
"Killed Casualties","2008","All days","Number","279"
"Killed Casualties","2008","Sunday","Number","59"
"Killed Casualties","2008","Monday","Number","38"
"Killed Casualties","2008","Tuesday","Number","34"
"Killed Casualties","2008","Wednesday","Number","31"
"Killed Casualties","2008","Thursday","Number","36"
"Killed Casualties","2008","Friday","Number","33"
"Killed Casualties","2008","Saturday","Number","48"
"Killed Casualties","2009","All days","Number","238"
"Killed Casualties","2009","Sunday","Number","50"
"Killed Casualties","2009","Monday","Number","45"
"Killed Casualties","2009","Tuesday","Number","32"
"Killed Casualties","2009","Wednesday","Number","27"
"Killed Casualties","2009","Thursday","Number","18"
"Killed Casualties","2009","Friday","Number","30"
"Killed Casualties","2009","Saturday","Number","36"
"Killed Casualties","2010","All days","Number","212"
"Killed Casualties","2010","Sunday","Number","54"
"Killed Casualties","2010","Monday","Number","23"
"Killed Casualties","2010","Tuesday","Number","23"
"Killed Casualties","2010","Wednesday","Number","24"
"Killed Casualties","2010","Thursday","Number","22"
"Killed Casualties","2010","Friday","Number","26"
"Killed Casualties","2010","Saturday","Number","40"
"Killed Casualties","2011","All days","Number","186"
"Killed Casualties","2011","Sunday","Number","30"
"Killed Casualties","2011","Monday","Number","30"
"Killed Casualties","2011","Tuesday","Number","29"
"Killed Casualties","2011","Wednesday","Number","21"
"Killed Casualties","2011","Thursday","Number","21"
"Killed Casualties","2011","Friday","Number","35"
"Killed Casualties","2011","Saturday","Number","20"
"Killed Casualties","2012","All days","Number","162"
"Killed Casualties","2012","Sunday","Number","39"
"Killed Casualties","2012","Monday","Number","17"
"Killed Casualties","2012","Tuesday","Number","11"
"Killed Casualties","2012","Wednesday","Number","21"
"Killed Casualties","2012","Thursday","Number","19"
"Killed Casualties","2012","Friday","Number","28"
"Killed Casualties","2012","Saturday","Number","27"
"Killed Casualties","2013","All days","Number","188"
"Killed Casualties","2013","Sunday","Number","32"
"Killed Casualties","2013","Monday","Number","29"
"Killed Casualties","2013","Tuesday","Number","19"
"Killed Casualties","2013","Wednesday","Number","21"
"Killed Casualties","2013","Thursday","Number","25"
"Killed Casualties","2013","Friday","Number","35"
"Killed Casualties","2013","Saturday","Number","27"
"Killed Casualties","2014","All days","Number","192"
"Killed Casualties","2014","Sunday","Number","30"
"Killed Casualties","2014","Monday","Number","26"
"Killed Casualties","2014","Tuesday","Number","18"
"Killed Casualties","2014","Wednesday","Number","25"
"Killed Casualties","2014","Thursday","Number","38"
"Killed Casualties","2014","Friday","Number","27"
"Killed Casualties","2014","Saturday","Number","28"
"Killed Casualties","2015","All days","Number","162"
"Killed Casualties","2015","Sunday","Number","31"
"Killed Casualties","2015","Monday","Number","20"
"Killed Casualties","2015","Tuesday","Number","27"
"Killed Casualties","2015","Wednesday","Number","20"
"Killed Casualties","2015","Thursday","Number","19"
"Killed Casualties","2015","Friday","Number","23"
"Killed Casualties","2015","Saturday","Number","22"
"Killed Casualties","2016","All days","Number","186"
"Killed Casualties","2016","Sunday","Number","37"
"Killed Casualties","2016","Monday","Number","20"
"Killed Casualties","2016","Tuesday","Number","29"
"Killed Casualties","2016","Wednesday","Number","25"
"Killed Casualties","2016","Thursday","Number","32"
"Killed Casualties","2016","Friday","Number","15"
"Killed Casualties","2016","Saturday","Number","28"
"Killed Casualties","2017","All days","Number","156"
"Killed Casualties","2017","Sunday","Number","31"
"Killed Casualties","2017","Monday","Number","38"
"Killed Casualties","2017","Tuesday","Number","17"
"Killed Casualties","2017","Wednesday","Number","17"
"Killed Casualties","2017","Thursday","Number","10"
"Killed Casualties","2017","Friday","Number","20"
"Killed Casualties","2017","Saturday","Number","23"
"Killed Casualties","2018","All days","Number","139"
"Killed Casualties","2018","Sunday","Number","31"
"Killed Casualties","2018","Monday","Number","18"
"Killed Casualties","2018","Tuesday","Number","22"
"Killed Casualties","2018","Wednesday","Number","17"
"Killed Casualties","2018","Thursday","Number","15"
"Killed Casualties","2018","Friday","Number","18"
"Killed Casualties","2018","Saturday","Number","18"
"Killed Casualties","2019","All days","Number","140"
"Killed Casualties","2019","Sunday","Number","32"
"Killed Casualties","2019","Monday","Number","18"
"Killed Casualties","2019","Tuesday","Number","13"
"Killed Casualties","2019","Wednesday","Number","10"
"Killed Casualties","2019","Thursday","Number","23"
"Killed Casualties","2019","Friday","Number","26"
"Killed Casualties","2019","Saturday","Number","18"
"Killed Casualties","2020","All days","Number","147"
"Killed Casualties","2020","Sunday","Number","21"
"Killed Casualties","2020","Monday","Number","24"
"Killed Casualties","2020","Tuesday","Number","19"
"Killed Casualties","2020","Wednesday","Number","24"
"Killed Casualties","2020","Thursday","Number","16"
"Killed Casualties","2020","Friday","Number","14"
"Killed Casualties","2020","Saturday","Number","29"
"Killed Casualties","2021","All days","Number","136"
