"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"2002 Population","5 - 9 years","Male","Limerick City","2002","Number","1621"
"2002 Population","5 - 9 years","Male","Limerick County","2002","Number","4217"
"2002 Population","5 - 9 years","Male","North Tipperary","2002","Number","2231"
"2002 Population","5 - 9 years","Male","South Tipperary","2002","Number","2871"
"2002 Population","5 - 9 years","Male","Waterford","2002","Number","3522"
"2002 Population","5 - 9 years","Male","Waterford City","2002","Number","1436"
"2002 Population","5 - 9 years","Male","Waterford County","2002","Number","2086"
"2002 Population","5 - 9 years","Male","Connacht","2002","Number","16222"
"2002 Population","5 - 9 years","Male","Galway","2002","Number","7245"
"2002 Population","5 - 9 years","Male","Galway City","2002","Number","1740"
"2002 Population","5 - 9 years","Male","Galway County","2002","Number","5505"
"2002 Population","5 - 9 years","Male","Leitrim","2002","Number","928"
"2002 Population","5 - 9 years","Male","Mayo","2002","Number","4154"
"2002 Population","5 - 9 years","Male","Roscommon","2002","Number","1874"
"2002 Population","5 - 9 years","Male","Sligo","2002","Number","2021"
"2002 Population","5 - 9 years","Male","Ulster (part of)","2002","Number","9409"
"2002 Population","5 - 9 years","Male","Cavan","2002","Number","2149"
"2002 Population","5 - 9 years","Male","Donegal","2002","Number","5309"
"2002 Population","5 - 9 years","Male","Monaghan","2002","Number","1951"
"2002 Population","5 - 9 years","Female","State","2002","Number","128200"
"2002 Population","5 - 9 years","Female","Leinster","2002","Number","67744"
"2002 Population","5 - 9 years","Female","Carlow","2002","Number","1529"
"2002 Population","5 - 9 years","Female","Dublin","2002","Number","32748"
"2002 Population","5 - 9 years","Female","Dublin City","2002","Number","12376"
"2002 Population","5 - 9 years","Female","Dún Laoghaire-Rathdown","2002","Number","5742"
"2002 Population","5 - 9 years","Female","Fingal","2002","Number","6600"
"2002 Population","5 - 9 years","Female","South Dublin","2002","Number","8030"
"2002 Population","5 - 9 years","Female","Kildare","2002","Number","6075"
"2002 Population","5 - 9 years","Female","Kilkenny","2002","Number","2849"
"2002 Population","5 - 9 years","Female","Laois","2002","Number","2073"
"2002 Population","5 - 9 years","Female","Longford","2002","Number","1108"
"2002 Population","5 - 9 years","Female","Louth","2002","Number","3486"
"2002 Population","5 - 9 years","Female","Meath","2002","Number","4790"
"2002 Population","5 - 9 years","Female","Offaly","2002","Number","2313"
"2002 Population","5 - 9 years","Female","Westmeath","2002","Number","2585"
"2002 Population","5 - 9 years","Female","Wexford","2002","Number","4158"
"2002 Population","5 - 9 years","Female","Wicklow","2002","Number","4030"
"2002 Population","5 - 9 years","Female","Munster","2002","Number","36379"
"2002 Population","5 - 9 years","Female","Clare","2002","Number","3552"
"2002 Population","5 - 9 years","Female","Cork","2002","Number","14780"
"2002 Population","5 - 9 years","Female","Cork City","2002","Number","3210"
"2002 Population","5 - 9 years","Female","Cork County","2002","Number","11570"
"2002 Population","5 - 9 years","Female","Kerry","2002","Number","4289"
"2002 Population","5 - 9 years","Female","Limerick","2002","Number","5598"
"2002 Population","5 - 9 years","Female","Limerick City","2002","Number","1639"
"2002 Population","5 - 9 years","Female","Limerick County","2002","Number","3959"
"2002 Population","5 - 9 years","Female","North Tipperary","2002","Number","2119"
"2002 Population","5 - 9 years","Female","South Tipperary","2002","Number","2734"
"2002 Population","5 - 9 years","Female","Waterford","2002","Number","3307"
"2002 Population","5 - 9 years","Female","Waterford City","2002","Number","1376"
"2002 Population","5 - 9 years","Female","Waterford County","2002","Number","1931"
"2002 Population","5 - 9 years","Female","Connacht","2002","Number","15182"
"2002 Population","5 - 9 years","Female","Galway","2002","Number","6696"
"2002 Population","5 - 9 years","Female","Galway City","2002","Number","1675"
"2002 Population","5 - 9 years","Female","Galway County","2002","Number","5021"
"2002 Population","5 - 9 years","Female","Leitrim","2002","Number","842"
"2002 Population","5 - 9 years","Female","Mayo","2002","Number","3990"
"2002 Population","5 - 9 years","Female","Roscommon","2002","Number","1787"
"2002 Population","5 - 9 years","Female","Sligo","2002","Number","1867"
"2002 Population","5 - 9 years","Female","Ulster (part of)","2002","Number","8895"
"2002 Population","5 - 9 years","Female","Cavan","2002","Number","1994"
"2002 Population","5 - 9 years","Female","Donegal","2002","Number","5049"
"2002 Population","5 - 9 years","Female","Monaghan","2002","Number","1852"
"2002 Population","10 - 14 years","Both sexes","State","2002","Number","285708"
"2002 Population","10 - 14 years","Both sexes","Leinster","2002","Number","149512"
"2002 Population","10 - 14 years","Both sexes","Carlow","2002","Number","3447"
"2002 Population","10 - 14 years","Both sexes","Dublin","2002","Number","72971"
"2002 Population","10 - 14 years","Both sexes","Dublin City","2002","Number","26579"
"2002 Population","10 - 14 years","Both sexes","Dún Laoghaire-Rathdown","2002","Number","13060"
"2002 Population","10 - 14 years","Both sexes","Fingal","2002","Number","15113"
"2002 Population","10 - 14 years","Both sexes","South Dublin","2002","Number","18219"
"2002 Population","10 - 14 years","Both sexes","Kildare","2002","Number","12465"
"2002 Population","10 - 14 years","Both sexes","Kilkenny","2002","Number","6551"
"2002 Population","10 - 14 years","Both sexes","Laois","2002","Number","4701"
"2002 Population","10 - 14 years","Both sexes","Longford","2002","Number","2475"
"2002 Population","10 - 14 years","Both sexes","Louth","2002","Number","7615"
"2002 Population","10 - 14 years","Both sexes","Meath","2002","Number","10529"
"2002 Population","10 - 14 years","Both sexes","Offaly","2002","Number","5142"
"2002 Population","10 - 14 years","Both sexes","Westmeath","2002","Number","5549"
